1474 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_54
883 - SeqGS, GradientSolver, pre_0, post_0, cells_51
2063 - SeqSOR, GradientSolver, pre_0, post_0, cells_55
1768 - SeqSOR, LoopSolver, pre_0, post_0, cells_54
1474 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_54
1470 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_50
297 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_53
1472 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_52
2061 - SeqSOR, GradientSolver, pre_0, post_0, cells_53
1176 - SeqSOR, CGSolver, pre_0, post_0, cells_50
1177 - SeqSOR, CGSolver, pre_0, post_0, cells_51
1177 - SeqSOR, CGSolver, pre_0, post_0, cells_51
1769 - SeqSOR, LoopSolver, pre_0, post_0, cells_55
2061 - SeqSOR, GradientSolver, pre_0, post_0, cells_53
1178 - SeqSOR, CGSolver, pre_0, post_0, cells_52
589 - SeqGS, LoopSolver, pre_0, post_0, cells_51
1177 - SeqSOR, CGSolver, pre_0, post_0, cells_51
884 - SeqGS, GradientSolver, pre_0, post_0, cells_52
3 - SeqGS, CGSolver, pre_0, post_0, cells_53
0 - SeqGS, CGSolver, pre_0, post_0, cells_50
1473 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_53
1181 - SeqSOR, CGSolver, pre_0, post_0, cells_55
589 - SeqGS, LoopSolver, pre_0, post_0, cells_51
885 - SeqGS, GradientSolver, pre_0, post_0, cells_53
1474 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_54
887 - SeqGS, GradientSolver, pre_0, post_0, cells_55
593 - SeqGS, LoopSolver, pre_0, post_0, cells_55
298 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_54
2062 - SeqSOR, GradientSolver, pre_0, post_0, cells_54
1764 - SeqSOR, LoopSolver, pre_0, post_0, cells_50
1180 - SeqSOR, CGSolver, pre_0, post_0, cells_54
1179 - SeqSOR, CGSolver, pre_0, post_0, cells_53
2060 - SeqSOR, GradientSolver, pre_0, post_0, cells_52
592 - SeqGS, LoopSolver, pre_0, post_0, cells_54
589 - SeqGS, LoopSolver, pre_0, post_0, cells_51
591 - SeqGS, LoopSolver, pre_0, post_0, cells_53
1181 - SeqSOR, CGSolver, pre_0, post_0, cells_55
299 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_55
882 - SeqGS, GradientSolver, pre_0, post_0, cells_50
