0 - SeqGS, CGSolver, pre_0, post_0, cells_50
1474 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_54
1178 - SeqSOR, CGSolver, pre_0, post_0, cells_52
590 - SeqGS, LoopSolver, pre_0, post_0, cells_52
1471 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_51
1766 - SeqSOR, LoopSolver, pre_0, post_0, cells_52
589 - SeqGS, LoopSolver, pre_0, post_0, cells_51
4 - SeqGS, CGSolver, pre_0, post_0, cells_54
591 - SeqGS, LoopSolver, pre_0, post_0, cells_53
2060 - SeqSOR, GradientSolver, pre_0, post_0, cells_52
1 - SeqGS, CGSolver, pre_0, post_0, cells_51
593 - SeqGS, LoopSolver, pre_0, post_0, cells_55
883 - SeqGS, GradientSolver, pre_0, post_0, cells_51
2058 - SeqSOR, GradientSolver, pre_0, post_0, cells_50
1769 - SeqSOR, LoopSolver, pre_0, post_0, cells_55
1470 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_50
885 - SeqGS, GradientSolver, pre_0, post_0, cells_53
4 - SeqGS, CGSolver, pre_0, post_0, cells_54
299 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_55
1178 - SeqSOR, CGSolver, pre_0, post_0, cells_52
298 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_54
297 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_53
296 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_52
591 - SeqGS, LoopSolver, pre_0, post_0, cells_53
882 - SeqGS, GradientSolver, pre_0, post_0, cells_50
1470 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_50
1769 - SeqSOR, LoopSolver, pre_0, post_0, cells_55
885 - SeqGS, GradientSolver, pre_0, post_0, cells_53
297 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_53
295 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_51
