2061 - SeqSOR, GradientSolver, pre_0, post_0, cells_53
3 - SeqGS, CGSolver, pre_0, post_0, cells_53
2058 - SeqSOR, GradientSolver, pre_0, post_0, cells_50
591 - SeqGS, LoopSolver, pre_0, post_0, cells_53
588 - SeqGS, LoopSolver, pre_0, post_0, cells_50
592 - SeqGS, LoopSolver, pre_0, post_0, cells_54
1471 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_51
885 - SeqGS, GradientSolver, pre_0, post_0, cells_53
1181 - SeqSOR, CGSolver, pre_0, post_0, cells_55
2062 - SeqSOR, GradientSolver, pre_0, post_0, cells_54
1470 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_50
294 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_50
1177 - SeqSOR, CGSolver, pre_0, post_0, cells_51
590 - SeqGS, LoopSolver, pre_0, post_0, cells_52
1767 - SeqSOR, LoopSolver, pre_0, post_0, cells_53
1177 - SeqSOR, CGSolver, pre_0, post_0, cells_51
593 - SeqGS, LoopSolver, pre_0, post_0, cells_55
299 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_55
4 - SeqGS, CGSolver, pre_0, post_0, cells_54
1764 - SeqSOR, LoopSolver, pre_0, post_0, cells_50
2062 - SeqSOR, GradientSolver, pre_0, post_0, cells_54
883 - SeqGS, GradientSolver, pre_0, post_0, cells_51
1764 - SeqSOR, LoopSolver, pre_0, post_0, cells_50
1475 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_55
593 - SeqGS, LoopSolver, pre_0, post_0, cells_55
1767 - SeqSOR, LoopSolver, pre_0, post_0, cells_53
1181 - SeqSOR, CGSolver, pre_0, post_0, cells_55
1180 - SeqSOR, CGSolver, pre_0, post_0, cells_54
2063 - SeqSOR, GradientSolver, pre_0, post_0, cells_55
886 - SeqGS, GradientSolver, pre_0, post_0, cells_54
884 - SeqGS, GradientSolver, pre_0, post_0, cells_52
887 - SeqGS, GradientSolver, pre_0, post_0, cells_55
1768 - SeqSOR, LoopSolver, pre_0, post_0, cells_54
1177 - SeqSOR, CGSolver, pre_0, post_0, cells_51
1178 - SeqSOR, CGSolver, pre_0, post_0, cells_52
295 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_51
1176 - SeqSOR, CGSolver, pre_0, post_0, cells_50
591 - SeqGS, LoopSolver, pre_0, post_0, cells_53
1176 - SeqSOR, CGSolver, pre_0, post_0, cells_50
0 - SeqGS, CGSolver, pre_0, post_0, cells_50
298 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_54
