1768 - SeqSOR, LoopSolver, pre_0, post_0, cells_54
2060 - SeqSOR, GradientSolver, pre_0, post_0, cells_52
1475 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_55
589 - SeqGS, LoopSolver, pre_0, post_0, cells_51
1 - SeqGS, CGSolver, pre_0, post_0, cells_51
1766 - SeqSOR, LoopSolver, pre_0, post_0, cells_52
296 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_52
3 - SeqGS, CGSolver, pre_0, post_0, cells_53
1181 - SeqSOR, CGSolver, pre_0, post_0, cells_55
299 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_55
886 - SeqGS, GradientSolver, pre_0, post_0, cells_54
589 - SeqGS, LoopSolver, pre_0, post_0, cells_51
1470 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_50
1179 - SeqSOR, CGSolver, pre_0, post_0, cells_53
1471 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_51
1766 - SeqSOR, LoopSolver, pre_0, post_0, cells_52
2 - SeqGS, CGSolver, pre_0, post_0, cells_52
298 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_54
1766 - SeqSOR, LoopSolver, pre_0, post_0, cells_52
