1177 - SeqSOR, CGSolver, pre_0, post_0, cells_51
1766 - SeqSOR, LoopSolver, pre_0, post_0, cells_52
590 - SeqGS, LoopSolver, pre_0, post_0, cells_52
1475 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_55
2063 - SeqSOR, GradientSolver, pre_0, post_0, cells_55
4 - SeqGS, CGSolver, pre_0, post_0, cells_54
294 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_50
5 - SeqGS, CGSolver, pre_0, post_0, cells_55
1767 - SeqSOR, LoopSolver, pre_0, post_0, cells_53
883 - SeqGS, GradientSolver, pre_0, post_0, cells_51
1472 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_52
297 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_53
1470 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_50
592 - SeqGS, LoopSolver, pre_0, post_0, cells_54
2062 - SeqSOR, GradientSolver, pre_0, post_0, cells_54
2 - SeqGS, CGSolver, pre_0, post_0, cells_52
2062 - SeqSOR, GradientSolver, pre_0, post_0, cells_54
1471 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_51
1 - SeqGS, CGSolver, pre_0, post_0, cells_51
882 - SeqGS, GradientSolver, pre_0, post_0, cells_50
588 - SeqGS, LoopSolver, pre_0, post_0, cells_50
2060 - SeqSOR, GradientSolver, pre_0, post_0, cells_52
1472 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_52
1768 - SeqSOR, LoopSolver, pre_0, post_0, cells_54
592 - SeqGS, LoopSolver, pre_0, post_0, cells_54
3 - SeqGS, CGSolver, pre_0, post_0, cells_53
1474 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_54
1767 - SeqSOR, LoopSolver, pre_0, post_0, cells_53
885 - SeqGS, GradientSolver, pre_0, post_0, cells_53
2060 - SeqSOR, GradientSolver, pre_0, post_0, cells_52
1766 - SeqSOR, LoopSolver, pre_0, post_0, cells_52
296 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_52
591 - SeqGS, LoopSolver, pre_0, post_0, cells_53
294 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_50
