297 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_53
1179 - SeqSOR, CGSolver, pre_0, post_0, cells_53
2061 - SeqSOR, GradientSolver, pre_0, post_0, cells_53
3 - SeqGS, CGSolver, pre_0, post_0, cells_53
1764 - SeqSOR, LoopSolver, pre_0, post_0, cells_50
589 - SeqGS, LoopSolver, pre_0, post_0, cells_51
1472 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_52
1472 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_52
1769 - SeqSOR, LoopSolver, pre_0, post_0, cells_55
883 - SeqGS, GradientSolver, pre_0, post_0, cells_51
1767 - SeqSOR, LoopSolver, pre_0, post_0, cells_53
1475 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_55
295 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_51
1179 - SeqSOR, CGSolver, pre_0, post_0, cells_53
590 - SeqGS, LoopSolver, pre_0, post_0, cells_52
1768 - SeqSOR, LoopSolver, pre_0, post_0, cells_54
294 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_50
593 - SeqGS, LoopSolver, pre_0, post_0, cells_55
1177 - SeqSOR, CGSolver, pre_0, post_0, cells_51
2059 - SeqSOR, GradientSolver, pre_0, post_0, cells_51
887 - SeqGS, GradientSolver, pre_0, post_0, cells_55
1177 - SeqSOR, CGSolver, pre_0, post_0, cells_51
588 - SeqGS, LoopSolver, pre_0, post_0, cells_50
0 - SeqGS, CGSolver, pre_0, post_0, cells_50
1 - SeqGS, CGSolver, pre_0, post_0, cells_51
2062 - SeqSOR, GradientSolver, pre_0, post_0, cells_54
2062 - SeqSOR, GradientSolver, pre_0, post_0, cells_54
590 - SeqGS, LoopSolver, pre_0, post_0, cells_52
1475 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_55
1176 - SeqSOR, CGSolver, pre_0, post_0, cells_50
