592 - SeqGS, LoopSolver, pre_0, post_0, cells_54
1765 - SeqSOR, LoopSolver, pre_0, post_0, cells_51
593 - SeqGS, LoopSolver, pre_0, post_0, cells_55
884 - SeqGS, GradientSolver, pre_0, post_0, cells_52
1178 - SeqSOR, CGSolver, pre_0, post_0, cells_52
593 - SeqGS, LoopSolver, pre_0, post_0, cells_55
295 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_51
1767 - SeqSOR, LoopSolver, pre_0, post_0, cells_53
589 - SeqGS, LoopSolver, pre_0, post_0, cells_51
887 - SeqGS, GradientSolver, pre_0, post_0, cells_55
1473 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_53
297 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_53
1764 - SeqSOR, LoopSolver, pre_0, post_0, cells_50
592 - SeqGS, LoopSolver, pre_0, post_0, cells_54
2 - SeqGS, CGSolver, pre_0, post_0, cells_52
887 - SeqGS, GradientSolver, pre_0, post_0, cells_55
1181 - SeqSOR, CGSolver, pre_0, post_0, cells_55
1766 - SeqSOR, LoopSolver, pre_0, post_0, cells_52
1178 - SeqSOR, CGSolver, pre_0, post_0, cells_52
884 - SeqGS, GradientSolver, pre_0, post_0, cells_52
1179 - SeqSOR, CGSolver, pre_0, post_0, cells_53
1177 - SeqSOR, CGSolver, pre_0, post_0, cells_51
884 - SeqGS, GradientSolver, pre_0, post_0, cells_52
589 - SeqGS, LoopSolver, pre_0, post_0, cells_51
589 - SeqGS, LoopSolver, pre_0, post_0, cells_51
1768 - SeqSOR, LoopSolver, pre_0, post_0, cells_54
297 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_53
1474 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_54
2058 - SeqSOR, GradientSolver, pre_0, post_0, cells_50
3 - SeqGS, CGSolver, pre_0, post_0, cells_53
5 - SeqGS, CGSolver, pre_0, post_0, cells_55
1472 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_52
