Configuration;MeasuredValue;PredictedValue
iv_users%_%root%_%time_passes%_%;210.34;209.9116
gvn%_%iv_users%_%root%_%time_passes%_%;219.1533;222.5753
instcombine%_%iv_users%_%root%_%time_passes%_%;216.4033;232.1989
inline%_%iv_users%_%root%_%time_passes%_%;207.7467;228.3273
iv_users%_%jump_threading%_%root%_%time_passes%_%;199.6833;213.223
iv_users%_%root%_%simplifycfg%_%time_passes%_%;200.38;227.018
iv_users%_%root%_%sccp%_%time_passes%_%;200.66;205.1289
iv_users%_%print_used_types%_%root%_%time_passes%_%;203.18;217.582
ipsccp%_%iv_users%_%root%_%time_passes%_%;202.2333;207.2247
iv_users%_%licm%_%root%_%time_passes%_%;212.4467;209.9116
gvn%_%iv_users%_%licm%_%root%_%time_passes%_%;228.3;222.5753
instcombine%_%iv_users%_%licm%_%root%_%time_passes%_%;230.74;232.1989
inline%_%iv_users%_%licm%_%root%_%time_passes%_%;241.7767;228.3273
iv_users%_%jump_threading%_%licm%_%root%_%time_passes%_%;212.92;213.223
iv_users%_%licm%_%root%_%simplifycfg%_%time_passes%_%;213.48;227.018
iv_users%_%licm%_%root%_%sccp%_%time_passes%_%;214.37;205.1289
iv_users%_%licm%_%print_used_types%_%root%_%time_passes%_%;216.5867;217.582
ipsccp%_%iv_users%_%licm%_%root%_%time_passes%_%;215.6067;207.2247
gvn%_%jump_threading%_%root%_%time_passes%_%;232.2;226.3114
gvn%_%licm%_%root%_%time_passes%_%;267.4267;223.5309
jump_threading%_%licm%_%root%_%time_passes%_%;220.08;217.0129
gvn%_%jump_threading%_%licm%_%root%_%time_passes%_%;256.2233;226.3114
gvn%_%iv_users%_%jump_threading%_%root%_%time_passes%_%;221.6067;221.9909
gvn%_%iv_users%_%jump_threading%_%licm%_%root%_%time_passes%_%;230.79;221.9909
jump_threading%_%root%_%simplifycfg%_%time_passes%_%;205.9467;235.5386
gvn%_%root%_%simplifycfg%_%time_passes%_%;230.74;230.7704
gvn%_%jump_threading%_%root%_%simplifycfg%_%time_passes%_%;229.8567;232.3863
gvn%_%iv_users%_%root%_%simplifycfg%_%time_passes%_%;222.2367;226.2922
iv_users%_%jump_threading%_%root%_%simplifycfg%_%time_passes%_%;200.9233;227.488
gvn%_%iv_users%_%jump_threading%_%root%_%simplifycfg%_%time_passes%_%;223.0133;226.3207
licm%_%root%_%simplifycfg%_%time_passes%_%;219.4967;233.4811
jump_threading%_%licm%_%root%_%simplifycfg%_%time_passes%_%;218.0733;235.5386
iv_users%_%jump_threading%_%licm%_%root%_%simplifycfg%_%time_passes%_%;214.2433;227.488
gvn%_%licm%_%root%_%simplifycfg%_%time_passes%_%;238.7533;230.7704
gvn%_%iv_users%_%licm%_%root%_%simplifycfg%_%time_passes%_%;231.2167;226.2922
gvn%_%jump_threading%_%licm%_%root%_%simplifycfg%_%time_passes%_%;255.6433;232.3863
gvn%_%iv_users%_%jump_threading%_%licm%_%root%_%simplifycfg%_%time_passes%_%;232.2167;226.3207
instcombine%_%root%_%simplifycfg%_%time_passes%_%;224.0733;242.5877
instcombine%_%jump_threading%_%root%_%time_passes%_%;234.08;236.9658
instcombine%_%jump_threading%_%root%_%simplifycfg%_%time_passes%_%;233.2767;241.0563
gvn%_%instcombine%_%root%_%time_passes%_%;232.7;238.8072
gvn%_%instcombine%_%jump_threading%_%root%_%time_passes%_%;245.9367;237.0227
gvn%_%instcombine%_%root%_%simplifycfg%_%time_passes%_%;246.7567;238.3407
gvn%_%instcombine%_%jump_threading%_%root%_%simplifycfg%_%time_passes%_%;245.7567;237.103
instcombine%_%licm%_%root%_%time_passes%_%;257.3333;241.2494
instcombine%_%licm%_%root%_%simplifycfg%_%time_passes%_%;237.1033;242.5877
gvn%_%instcombine%_%licm%_%root%_%time_passes%_%;238.23;238.8072
gvn%_%instcombine%_%licm%_%root%_%simplifycfg%_%time_passes%_%;255.2133;238.3407
instcombine%_%jump_threading%_%licm%_%root%_%time_passes%_%;237.6967;236.9658
gvn%_%instcombine%_%jump_threading%_%licm%_%root%_%time_passes%_%;254.34;237.0227
instcombine%_%jump_threading%_%licm%_%root%_%simplifycfg%_%time_passes%_%;235.91;241.0563
gvn%_%instcombine%_%jump_threading%_%licm%_%root%_%simplifycfg%_%time_passes%_%;254.0733;237.103
instcombine%_%iv_users%_%root%_%simplifycfg%_%time_passes%_%;217.6967;237.0539
instcombine%_%iv_users%_%jump_threading%_%root%_%time_passes%_%;217.0933;229.942
instcombine%_%iv_users%_%jump_threading%_%root%_%simplifycfg%_%time_passes%_%;218.1233;235.3701
instcombine%_%iv_users%_%jump_threading%_%licm%_%root%_%time_passes%_%;231.3233;229.942
instcombine%_%iv_users%_%licm%_%root%_%simplifycfg%_%time_passes%_%;231.62;237.0539
instcombine%_%iv_users%_%jump_threading%_%licm%_%root%_%simplifycfg%_%time_passes%_%;233.0033;235.3701
gvn%_%instcombine%_%iv_users%_%root%_%time_passes%_%;234.87;234.3057
gvn%_%instcombine%_%iv_users%_%root%_%simplifycfg%_%time_passes%_%;238.7333;234.6098
gvn%_%instcombine%_%iv_users%_%licm%_%root%_%time_passes%_%;246.0033;234.3057
gvn%_%instcombine%_%iv_users%_%licm%_%root%_%simplifycfg%_%time_passes%_%;247.9933;234.6098
gvn%_%instcombine%_%iv_users%_%jump_threading%_%root%_%time_passes%_%;238.0967;233.9672
gvn%_%instcombine%_%iv_users%_%jump_threading%_%licm%_%root%_%time_passes%_%;247.8033;233.9672
gvn%_%instcombine%_%iv_users%_%jump_threading%_%root%_%simplifycfg%_%time_passes%_%;239.5567;233.2197
gvn%_%instcombine%_%iv_users%_%jump_threading%_%licm%_%root%_%simplifycfg%_%time_passes%_%;249.0367;233.2197
instcombine%_%root%_%sccp%_%time_passes%_%;222.4333;235.2104
root%_%sccp%_%simplifycfg%_%time_passes%_%;205.2067;229.3627
instcombine%_%root%_%sccp%_%simplifycfg%_%time_passes%_%;222.52;239.241
jump_threading%_%root%_%sccp%_%time_passes%_%;207.2333;214.0478
jump_threading%_%root%_%sccp%_%simplifycfg%_%time_passes%_%;206.6167;228.3889
instcombine%_%jump_threading%_%root%_%sccp%_%time_passes%_%;222.8233;232.5494
instcombine%_%jump_threading%_%root%_%sccp%_%simplifycfg%_%time_passes%_%;232.66;237.4317
gvn%_%root%_%sccp%_%time_passes%_%;229.1667;225.6498
gvn%_%instcombine%_%root%_%sccp%_%time_passes%_%;244.5;237.4391
gvn%_%jump_threading%_%root%_%sccp%_%time_passes%_%;231.19;226.3549
gvn%_%instcombine%_%jump_threading%_%root%_%sccp%_%time_passes%_%;244.49;234.7888
gvn%_%root%_%sccp%_%simplifycfg%_%time_passes%_%;229.6767;228.7778
gvn%_%jump_threading%_%root%_%sccp%_%simplifycfg%_%time_passes%_%;230.59;227.2889
gvn%_%instcombine%_%root%_%sccp%_%simplifycfg%_%time_passes%_%;246.48;236.145
gvn%_%instcombine%_%jump_threading%_%root%_%sccp%_%simplifycfg%_%time_passes%_%;246.4967;233.7954
instcombine%_%iv_users%_%root%_%sccp%_%time_passes%_%;218.0967;223.6419
iv_users%_%root%_%sccp%_%simplifycfg%_%time_passes%_%;205.3633;222.4376
instcombine%_%iv_users%_%root%_%sccp%_%simplifycfg%_%time_passes%_%;222.1867;230.1996
gvn%_%iv_users%_%root%_%sccp%_%time_passes%_%;221.25;219.4011
gvn%_%iv_users%_%root%_%sccp%_%simplifycfg%_%time_passes%_%;227.1833;222.1971
gvn%_%instcombine%_%iv_users%_%root%_%sccp%_%time_passes%_%;237.75;230.2874
gvn%_%instcombine%_%iv_users%_%root%_%sccp%_%simplifycfg%_%time_passes%_%;240.34;231.2336
iv_users%_%jump_threading%_%root%_%sccp%_%time_passes%_%;201.7033;212.3896
instcombine%_%iv_users%_%jump_threading%_%root%_%sccp%_%time_passes%_%;218.7267;228.9362
gvn%_%iv_users%_%jump_threading%_%root%_%sccp%_%time_passes%_%;223.3367;219.8711
gvn%_%instcombine%_%iv_users%_%jump_threading%_%root%_%sccp%_%time_passes%_%;242.0867;229.7393
iv_users%_%jump_threading%_%root%_%sccp%_%simplifycfg%_%time_passes%_%;206.1167;227.0371
gvn%_%iv_users%_%jump_threading%_%root%_%sccp%_%simplifycfg%_%time_passes%_%;227.64;222.2256
instcombine%_%iv_users%_%jump_threading%_%root%_%sccp%_%simplifycfg%_%time_passes%_%;219.87;232.4456
gvn%_%instcombine%_%iv_users%_%jump_threading%_%root%_%sccp%_%simplifycfg%_%time_passes%_%;243.26;228.9084
licm%_%root%_%sccp%_%time_passes%_%;217.3967;211.0349
instcombine%_%licm%_%root%_%sccp%_%time_passes%_%;234.8667;235.2104
licm%_%root%_%sccp%_%simplifycfg%_%time_passes%_%;217.68;229.3627
instcombine%_%licm%_%root%_%sccp%_%simplifycfg%_%time_passes%_%;234.42;239.241
jump_threading%_%licm%_%root%_%sccp%_%time_passes%_%;219.3133;214.0478
jump_threading%_%licm%_%root%_%sccp%_%simplifycfg%_%time_passes%_%;218.96;228.3889
instcombine%_%jump_threading%_%licm%_%root%_%sccp%_%time_passes%_%;236.7367;232.5494
instcombine%_%jump_threading%_%licm%_%root%_%sccp%_%simplifycfg%_%time_passes%_%;236.4333;237.4317
instcombine%_%iv_users%_%licm%_%root%_%sccp%_%time_passes%_%;232.22;223.6419
iv_users%_%jump_threading%_%licm%_%root%_%sccp%_%time_passes%_%;214.8867;212.3896
instcombine%_%iv_users%_%jump_threading%_%licm%_%root%_%sccp%_%time_passes%_%;233.4167;228.9362
iv_users%_%licm%_%root%_%sccp%_%simplifycfg%_%time_passes%_%;218.2967;222.4376
iv_users%_%jump_threading%_%licm%_%root%_%sccp%_%simplifycfg%_%time_passes%_%;219.0767;227.0371
instcombine%_%iv_users%_%licm%_%root%_%sccp%_%simplifycfg%_%time_passes%_%;234.8733;230.1996
instcombine%_%iv_users%_%jump_threading%_%licm%_%root%_%sccp%_%simplifycfg%_%time_passes%_%;236.3467;232.4456
gvn%_%licm%_%root%_%sccp%_%time_passes%_%;237.1333;225.6498
gvn%_%instcombine%_%licm%_%root%_%sccp%_%time_passes%_%;252.8367;237.4391
gvn%_%licm%_%root%_%sccp%_%simplifycfg%_%time_passes%_%;237.89;228.7778
gvn%_%instcombine%_%licm%_%root%_%sccp%_%simplifycfg%_%time_passes%_%;255.0133;236.145
gvn%_%iv_users%_%licm%_%root%_%sccp%_%time_passes%_%;230.4667;219.4011
gvn%_%iv_users%_%licm%_%root%_%sccp%_%simplifycfg%_%time_passes%_%;235.7;222.1971
gvn%_%instcombine%_%iv_users%_%licm%_%root%_%sccp%_%time_passes%_%;247.6867;230.2874
gvn%_%instcombine%_%iv_users%_%licm%_%root%_%sccp%_%simplifycfg%_%time_passes%_%;250.0667;231.2336
gvn%_%jump_threading%_%licm%_%root%_%sccp%_%time_passes%_%;238.2033;226.3549
gvn%_%instcombine%_%jump_threading%_%licm%_%root%_%sccp%_%time_passes%_%;252.9867;234.7888
gvn%_%iv_users%_%jump_threading%_%licm%_%root%_%sccp%_%time_passes%_%;232.4933;219.8711
gvn%_%instcombine%_%iv_users%_%jump_threading%_%licm%_%root%_%sccp%_%time_passes%_%;251.01;229.7393
gvn%_%jump_threading%_%licm%_%root%_%sccp%_%simplifycfg%_%time_passes%_%;255.12;227.2889
gvn%_%iv_users%_%jump_threading%_%licm%_%root%_%sccp%_%simplifycfg%_%time_passes%_%;234.0533;222.2256
gvn%_%instcombine%_%jump_threading%_%licm%_%root%_%sccp%_%simplifycfg%_%time_passes%_%;254.4967;233.7954
gvn%_%instcombine%_%iv_users%_%jump_threading%_%licm%_%root%_%sccp%_%simplifycfg%_%time_passes%_%;251.9833;228.9084
root%_%time_passes%_%;210.44;210.478
gvn%_%root%_%time_passes%_%;234.68;223.5309
instcombine%_%root%_%time_passes%_%;219.6367;241.2494
inline%_%root%_%time_passes%_%;208.92;229.9285
jump_threading%_%root%_%time_passes%_%;208.0467;217.0129
root%_%simplifycfg%_%time_passes%_%;206.9;233.4811
root%_%sccp%_%time_passes%_%;204.9867;211.0349
print_used_types%_%root%_%time_passes%_%;204.0533;219.4587
ipsccp%_%root%_%time_passes%_%;201.1533;206.8104
licm%_%root%_%time_passes%_%;258.8267;210.478
gvn%_%inline%_%instcombine%_%ipsccp%_%root%_%sccp%_%simplifycfg%_%time_passes%_%;249.1167;232.023
gvn%_%inline%_%iv_users%_%licm%_%print_used_types%_%root%_%sccp%_%simplifycfg%_%time_passes%_%;248.0633;234.9036
inline%_%instcombine%_%jump_threading%_%root%_%sccp%_%simplifycfg%_%time_passes%_%;224.5067;245.6566
gvn%_%instcombine%_%ipsccp%_%print_used_types%_%root%_%sccp%_%time_passes%_%;241.0167;230.6077
gvn%_%ipsccp%_%print_used_types%_%root%_%time_passes%_%;221.3333;221.3213
gvn%_%inline%_%instcombine%_%ipsccp%_%jump_threading%_%licm%_%print_used_types%_%root%_%simplifycfg%_%time_passes%_%;262.94;237.3869
gvn%_%instcombine%_%ipsccp%_%jump_threading%_%licm%_%print_used_types%_%root%_%sccp%_%time_passes%_%;250.2767;227.3366
instcombine%_%iv_users%_%licm%_%print_used_types%_%root%_%simplifycfg%_%time_passes%_%;231.63;234.386
gvn%_%instcombine%_%ipsccp%_%jump_threading%_%root%_%simplifycfg%_%time_passes%_%;243.9633;231.9768
gvn%_%inline%_%instcombine%_%ipsccp%_%iv_users%_%jump_threading%_%root%_%sccp%_%time_passes%_%;255.39;234.5666
inline%_%instcombine%_%iv_users%_%print_used_types%_%root%_%sccp%_%time_passes%_%;227.19;231.0969
gvn%_%ipsccp%_%jump_threading%_%licm%_%root%_%sccp%_%simplifycfg%_%time_passes%_%;238.5567;223.4764
iv_users%_%jump_threading%_%print_used_types%_%root%_%simplifycfg%_%time_passes%_%;201.9733;227.5973
gvn%_%inline%_%instcombine%_%iv_users%_%jump_threading%_%licm%_%print_used_types%_%root%_%time_passes%_%;259.26;238.5427
inline%_%instcombine%_%ipsccp%_%jump_threading%_%licm%_%root%_%sccp%_%simplifycfg%_%time_passes%_%;251.7867;226.7416
gvn%_%inline%_%instcombine%_%jump_threading%_%root%_%time_passes%_%;243.7833;242.6568
ipsccp%_%licm%_%root%_%sccp%_%time_passes%_%;216.2233;209.4409
gvn%_%inline%_%licm%_%print_used_types%_%root%_%sccp%_%simplifycfg%_%time_passes%_%;250.5667;242.1936
gvn%_%ipsccp%_%iv_users%_%jump_threading%_%print_used_types%_%root%_%sccp%_%time_passes%_%;228.7167;214.38
gvn%_%inline%_%instcombine%_%ipsccp%_%iv_users%_%licm%_%print_used_types%_%root%_%time_passes%_%;262.7367;230.7856
inline%_%instcombine%_%licm%_%root%_%simplifycfg%_%time_passes%_%;252.2667;252.4493
gvn%_%inline%_%instcombine%_%ipsccp%_%iv_users%_%root%_%sccp%_%simplifycfg%_%time_passes%_%;255.47;231.889
gvn%_%inline%_%ipsccp%_%iv_users%_%jump_threading%_%licm%_%print_used_types%_%root%_%simplifycfg%_%time_passes%_%;253.74;231.6309
inline%_%instcombine%_%ipsccp%_%iv_users%_%licm%_%print_used_types%_%root%_%simplifycfg%_%time_passes%_%;251.9133;227.7821
inline%_%instcombine%_%ipsccp%_%root%_%sccp%_%time_passes%_%;229.1867;224.3254
gvn%_%inline%_%jump_threading%_%licm%_%root%_%simplifycfg%_%time_passes%_%;239.4967;243.195
ipsccp%_%iv_users%_%print_used_types%_%root%_%sccp%_%time_passes%_%;205.99;205.988
gvn%_%inline%_%instcombine%_%ipsccp%_%licm%_%root%_%simplifycfg%_%time_passes%_%;264.47;237.356
