Configuration;MeasuredValue;PredictedValue
compression%_%compressionLrzip%_%level%_%level1%_%root%_%;208900;211829.3333
compression%_%compressionLrzip%_%level%_%level2%_%root%_%;210450;211829.3333
compression%_%compressionLrzip%_%level%_%level3%_%root%_%;283750;211829.3333
compression%_%compressionLrzip%_%level%_%level4%_%root%_%;339780;211829.3333
compression%_%compressionLrzip%_%level%_%level5%_%root%_%;340590;211829.3333
compression%_%compressionLrzip%_%level%_%level6%_%root%_%;384660;211829.3333
compression%_%compressionLrzip%_%level%_%level7%_%root%_%;1062250;211829.3333
compression%_%compressionLrzip%_%level%_%level8%_%root%_%;1179830;211829.3333
compression%_%compressionLrzip%_%level%_%level9%_%root%_%;827290;211829.3333
compression%_%compressionBzip2%_%level%_%level1%_%root%_%;208350;155293.0667
compression%_%compressionBzip2%_%level%_%level2%_%root%_%;213220;112477.6222
compression%_%compressionBzip2%_%level%_%level3%_%root%_%;223040;123323.9556
compression%_%compressionBzip2%_%level%_%level4%_%root%_%;234870;123323.9556
compression%_%compressionBzip2%_%level%_%level5%_%root%_%;236720;123323.9556
compression%_%compressionBzip2%_%level%_%level6%_%root%_%;248940;123323.9556
compression%_%compressionBzip2%_%level%_%level7%_%root%_%;257480;123323.9556
compression%_%compressionBzip2%_%level%_%level8%_%root%_%;263430;123323.9556
compression%_%compressionBzip2%_%level%_%level9%_%root%_%;265980;123323.9556
compression%_%compressionGzip%_%level%_%level1%_%root%_%;76470;102279.7333
compression%_%compressionGzip%_%level%_%level2%_%root%_%;80360;59565.6222
compression%_%compressionGzip%_%level%_%level3%_%root%_%;87690;70405.9556
compression%_%compressionGzip%_%level%_%level4%_%root%_%;93090;70405.9556
compression%_%compressionGzip%_%level%_%level5%_%root%_%;106090;70405.9556
compression%_%compressionGzip%_%level%_%level6%_%root%_%;128450;70405.9556
compression%_%compressionGzip%_%level%_%level7%_%root%_%;146410;70405.9556
compression%_%compressionGzip%_%level%_%level8%_%root%_%;187970;70405.9556
compression%_%compressionGzip%_%level%_%level9%_%root%_%;198360;70405.9556
compression%_%compressionLzo%_%level%_%level1%_%root%_%;50520;92717.6667
compression%_%compressionLzo%_%level%_%level2%_%root%_%;50610;50929.3333
compression%_%compressionLzo%_%level%_%level3%_%root%_%;45490;61338
compression%_%compressionLzo%_%level%_%level4%_%root%_%;48050;61338
compression%_%compressionLzo%_%level%_%level5%_%root%_%;49850;61338
compression%_%compressionLzo%_%level%_%level6%_%root%_%;50420;61338
compression%_%compressionLzo%_%level%_%level7%_%root%_%;53060;61338
compression%_%compressionLzo%_%level%_%level8%_%root%_%;53480;61338
compression%_%compressionLzo%_%level%_%level9%_%root%_%;51500;61338
compression%_%compressionZpaq%_%level%_%level1%_%root%_%;673290;102279.7333
compression%_%compressionZpaq%_%level%_%level2%_%root%_%;679680;59565.6222
compression%_%compressionZpaq%_%level%_%level3%_%root%_%;674140;70405.9556
compression%_%compressionZpaq%_%level%_%level4%_%root%_%;2267650;70405.9556
compression%_%compressionZpaq%_%level%_%level5%_%root%_%;2265330;70405.9556
compression%_%compressionZpaq%_%level%_%level6%_%root%_%;2265250;70405.9556
compression%_%compressionZpaq%_%level%_%level7%_%root%_%;2275110;70405.9556
compression%_%compressionZpaq%_%level%_%level8%_%root%_%;5765920;70405.9556
compression%_%compressionZpaq%_%level%_%level9%_%root%_%;5759100;70405.9556
level%_%level1%_%root%_%;41150;87724.6667
level%_%level2%_%root%_%;41790;43872.8889
level%_%level3%_%root%_%;42300;54750.2222
level%_%level4%_%root%_%;43680;54750.2222
level%_%level5%_%root%_%;43560;54750.2222
level%_%level6%_%root%_%;45720;54750.2222
level%_%level7%_%root%_%;44370;54750.2222
level%_%level8%_%root%_%;46950;54750.2222
level%_%level9%_%root%_%;45770;54750.2222
compression%_%compressionLrzip%_%encryption%_%level%_%level1%_%root%_%;220490;220614.9333
compression%_%compressionLrzip%_%encryption%_%level%_%level2%_%root%_%;222350;220614.9333
compression%_%compressionLrzip%_%encryption%_%level%_%level3%_%root%_%;295950;220614.9333
compression%_%compressionLrzip%_%encryption%_%level%_%level4%_%root%_%;350260;220614.9333
compression%_%compressionLrzip%_%encryption%_%level%_%level5%_%root%_%;347130;220614.9333
compression%_%compressionLrzip%_%encryption%_%level%_%level6%_%root%_%;395130;220614.9333
compression%_%compressionLrzip%_%encryption%_%level%_%level7%_%root%_%;1070520;220614.9333
compression%_%compressionLrzip%_%encryption%_%level%_%level8%_%root%_%;1185460;220614.9333
compression%_%compressionLrzip%_%encryption%_%level%_%level9%_%root%_%;833620;220614.9333
compression%_%compressionBzip2%_%encryption%_%level%_%level1%_%root%_%;213900;157583.0556
compression%_%compressionBzip2%_%encryption%_%level%_%level2%_%root%_%;222830;116305.7556
compression%_%compressionBzip2%_%encryption%_%level%_%level3%_%root%_%;233560;126604.4222
compression%_%compressionBzip2%_%encryption%_%level%_%level4%_%root%_%;243700;126604.4222
compression%_%compressionBzip2%_%encryption%_%level%_%level5%_%root%_%;250030;126604.4222
compression%_%compressionBzip2%_%encryption%_%level%_%level6%_%root%_%;260550;126604.4222
compression%_%compressionBzip2%_%encryption%_%level%_%level7%_%root%_%;263150;126604.4222
compression%_%compressionBzip2%_%encryption%_%level%_%level8%_%root%_%;271090;126604.4222
compression%_%compressionBzip2%_%encryption%_%level%_%level9%_%root%_%;274670;126604.4222
compression%_%compressionGzip%_%encryption%_%level%_%level1%_%root%_%;88600;105651.7222
compression%_%compressionGzip%_%encryption%_%level%_%level2%_%root%_%;89260;64380.4222
compression%_%compressionGzip%_%encryption%_%level%_%level3%_%root%_%;97960;74673.0889
compression%_%compressionGzip%_%encryption%_%level%_%level4%_%root%_%;103630;74673.0889
compression%_%compressionGzip%_%encryption%_%level%_%level5%_%root%_%;114530;74673.0889
compression%_%compressionGzip%_%encryption%_%level%_%level6%_%root%_%;139600;74673.0889
compression%_%compressionGzip%_%encryption%_%level%_%level7%_%root%_%;156680;74673.0889
compression%_%compressionGzip%_%encryption%_%level%_%level8%_%root%_%;198500;74673.0889
compression%_%compressionGzip%_%encryption%_%level%_%level9%_%root%_%;205040;74673.0889
compression%_%compressionLzo%_%encryption%_%level%_%level1%_%root%_%;65730;94351.3889
compression%_%compressionLzo%_%encryption%_%level%_%level2%_%root%_%;59710;53080.0889
compression%_%compressionLzo%_%encryption%_%level%_%level3%_%root%_%;61770;63372.7556
compression%_%compressionLzo%_%encryption%_%level%_%level4%_%root%_%;60460;63372.7556
compression%_%compressionLzo%_%encryption%_%level%_%level5%_%root%_%;61210;63372.7556
compression%_%compressionLzo%_%encryption%_%level%_%level6%_%root%_%;61790;63372.7556
compression%_%compressionLzo%_%encryption%_%level%_%level7%_%root%_%;64550;63372.7556
compression%_%compressionLzo%_%encryption%_%level%_%level8%_%root%_%;63620;63372.7556
compression%_%compressionLzo%_%encryption%_%level%_%level9%_%root%_%;64620;63372.7556
compression%_%compressionZpaq%_%encryption%_%level%_%level1%_%root%_%;681080;105651.7222
compression%_%compressionZpaq%_%encryption%_%level%_%level2%_%root%_%;684690;64380.4222
compression%_%compressionZpaq%_%encryption%_%level%_%level3%_%root%_%;681250;74673.0889
compression%_%compressionZpaq%_%encryption%_%level%_%level4%_%root%_%;2288260;74673.0889
compression%_%compressionZpaq%_%encryption%_%level%_%level5%_%root%_%;2282110;74673.0889
compression%_%compressionZpaq%_%encryption%_%level%_%level6%_%root%_%;2273900;74673.0889
compression%_%compressionZpaq%_%encryption%_%level%_%level7%_%root%_%;2282560;74673.0889
compression%_%compressionZpaq%_%encryption%_%level%_%level8%_%root%_%;5802460;74673.0889
compression%_%compressionZpaq%_%encryption%_%level%_%level9%_%root%_%;5810950;74673.0889
encryption%_%level%_%level1%_%root%_%;49760;94889.7222
encryption%_%level%_%level2%_%root%_%;53200;53612.4222
encryption%_%level%_%level3%_%root%_%;56980;63911.0889
encryption%_%level%_%level4%_%root%_%;54820;63911.0889
encryption%_%level%_%level5%_%root%_%;53500;63911.0889
encryption%_%level%_%level6%_%root%_%;56570;63911.0889
encryption%_%level%_%level7%_%root%_%;61280;63911.0889
encryption%_%level%_%level8%_%root%_%;56430;63911.0889
encryption%_%level%_%level9%_%root%_%;59650;63911.0889
compression%_%compressionLrzip%_%level%_%level1%_%root%_%unlimitedWindowSize%_%;212880;210252.6667
compression%_%compressionLrzip%_%level%_%level2%_%root%_%unlimitedWindowSize%_%;210810;210252.6667
compression%_%compressionLrzip%_%level%_%level3%_%root%_%unlimitedWindowSize%_%;284060;210252.6667
compression%_%compressionLrzip%_%level%_%level4%_%root%_%unlimitedWindowSize%_%;339360;210252.6667
