root;encryption;compression;compressionBzip2;compressionGzip;compressionLzo;compressionZpaq;compressionLrzip;level;level1;level2;level3;level4;level5;level6;level7;level8;level9;unlimitedWindowSize;disableCompressibilityTesting;Performance;Prediction
1;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;208900;0
1;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;210450;0
1;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;283750;0
1;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;339780;0
1;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;340590;0
1;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;384660;0
1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1062250;0
1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1179830;0
1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;827290;0
1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;208350;0
1;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;213220;0
1;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;223040;0
1;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;234870;0
1;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;236720;0
1;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;248940;0
1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;257480;0
1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;263430;0
1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;265980;0
1;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;76470;0
1;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;80360;0
1;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;87690;0
1;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;93090;0
1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;106090;0
1;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;128450;0
1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;146410;0
1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;187970;0
1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;198360;0
1;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;50520;0
1;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;50610;0
1;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;45490;0
1;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;48050;0
1;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;49850;0
1;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;50420;0
1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;53060;0
1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;53480;0
1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;51500;0
1;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;673290;0
1;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;679680;0
1;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;674140;0
1;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;2267650;0
1;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;2265330;0
1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;2265250;0
1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;2275110;0
1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;5765920;0
1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;5759100;0
1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;41150;0
1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;41790;0
1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;42300;0
1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;43680;0
1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;43560;0
1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;45720;0
1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;44370;0
1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;46950;0
1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;45770;0
1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;220490;0
1;1;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;222350;0
1;1;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;295950;0
1;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;350260;0
1;1;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;347130;0
1;1;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;395130;0
1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1070520;0
1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1185460;0
1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;833620;0
1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;213900;0
1;1;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;222830;0
1;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;233560;0
1;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;243700;0
1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;250030;0
1;1;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;260550;0
1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;263150;0
1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;271090;0
1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;274670;0
1;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;88600;0
1;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;89260;0
1;1;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;97960;0
1;1;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;103630;0
1;1;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;114530;0
1;1;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;139600;0
1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;156680;0
1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;198500;0
1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;205040;0
1;1;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;65730;0
1;1;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;59710;0
1;1;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;61770;0
1;1;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;60460;0
1;1;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;61210;0
1;1;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;61790;0
1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;64550;0
1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;63620;0
1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;64620;0
1;1;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;681080;0
1;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;684690;0
1;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;681250;0
1;1;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;2288260;0
1;1;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;2282110;0
1;1;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;2273900;0
1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;2282560;0
1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;5802460;0
