,x,y,strategy,t_factor
0,93,66,divDistBased,t1
1,93,120,divDistBased,t1
2,93,120,divDistBased,t1
3,93,120,divDistBased,t1
4,93,120,divDistBased,t1
5,93,216,divDistBased,t1
6,93,123,divDistBased,t1
7,93,120,divDistBased,t1
8,93,228,divDistBased,t1
9,93,120,divDistBased,t1
10,93,162,divDistBased,t1
11,93,120,divDistBased,t1
12,93,120,divDistBased,t1
13,93,384,divDistBased,t1
14,93,120,divDistBased,t1
15,93,123,divDistBased,t1
16,93,384,divDistBased,t1
17,93,117,divDistBased,t1
18,93,123,divDistBased,t1
19,93,381,divDistBased,t1
20,93,150,divDistBased,t1
21,93,120,divDistBased,t1
22,93,129,divDistBased,t1
23,93,120,divDistBased,t1
24,93,309,divDistBased,t1
25,93,120,divDistBased,t1
26,93,120,divDistBased,t1
27,93,78,divDistBased,t1
28,93,120,divDistBased,t1
29,93,78,divDistBased,t1
30,93,381,divDistBased,t1
31,93,123,divDistBased,t1
32,93,120,divDistBased,t1
33,93,309,divDistBased,t1
34,93,114,divDistBased,t1
35,93,129,divDistBased,t1
36,93,381,divDistBased,t1
37,93,72,divDistBased,t1
38,93,120,divDistBased,t1
39,93,120,divDistBased,t1
40,93,120,divDistBased,t1
41,93,114,divDistBased,t1
42,93,381,divDistBased,t1
43,93,381,divDistBased,t1
44,93,120,divDistBased,t1
45,93,120,divDistBased,t1
46,93,120,divDistBased,t1
47,93,120,divDistBased,t1
48,93,120,divDistBased,t1
49,93,309,divDistBased,t1
50,93,78,divDistBased,t1
51,93,120,divDistBased,t1
52,93,78,divDistBased,t1
53,93,120,divDistBased,t1
54,93,120,divDistBased,t1
55,93,384,divDistBased,t1
56,93,123,divDistBased,t1
57,93,120,divDistBased,t1
58,93,144,divDistBased,t1
59,93,150,divDistBased,t1
60,93,120,divDistBased,t1
61,93,120,divDistBased,t1
62,93,120,divDistBased,t1
63,93,150,divDistBased,t1
64,93,78,divDistBased,t1
65,93,120,divDistBased,t1
66,93,120,divDistBased,t1
67,93,228,divDistBased,t1
68,93,78,divDistBased,t1
69,93,120,divDistBased,t1
70,93,120,divDistBased,t1
71,93,381,divDistBased,t1
72,93,120,divDistBased,t1
73,93,120,divDistBased,t1
74,93,120,divDistBased,t1
75,93,120,divDistBased,t1
76,93,381,divDistBased,t1
77,93,120,divDistBased,t1
78,93,120,divDistBased,t1
79,93,120,divDistBased,t1
80,93,120,divDistBased,t1
81,93,120,divDistBased,t1
82,93,120,divDistBased,t1
83,93,228,divDistBased,t1
84,93,309,divDistBased,t1
85,93,381,divDistBased,t1
86,93,150,divDistBased,t1
87,93,120,divDistBased,t1
88,93,120,divDistBased,t1
89,93,381,divDistBased,t1
90,93,114,divDistBased,t1
91,93,120,divDistBased,t1
92,93,120,divDistBased,t1
93,93,456,divDistBased,t1
94,93,78,divDistBased,t1
95,93,150,divDistBased,t1
96,93,114,divDistBased,t1
97,93,120,divDistBased,t1
98,93,114,divDistBased,t1
99,93,120,divDistBased,t1
100,186,150,divDistBased,t1
101,186,381,divDistBased,t1
102,186,384,divDistBased,t1
103,186,381,divDistBased,t1
104,186,381,divDistBased,t1
105,186,456,divDistBased,t1
106,186,129,divDistBased,t1
107,186,150,divDistBased,t1
108,186,309,divDistBased,t1
109,186,384,divDistBased,t1
110,186,381,divDistBased,t1
111,186,381,divDistBased,t1
112,186,381,divDistBased,t1
113,186,752,divDistBased,t1
114,186,381,divDistBased,t1
115,186,129,divDistBased,t1
116,186,738,divDistBased,t1
117,186,120,divDistBased,t1
118,186,126,divDistBased,t1
119,186,384,divDistBased,t1
120,186,381,divDistBased,t1
121,186,381,divDistBased,t1
122,186,240,divDistBased,t1
123,186,384,divDistBased,t1
124,186,381,divDistBased,t1
125,186,150,divDistBased,t1
126,186,381,divDistBased,t1
127,186,150,divDistBased,t1
128,186,384,divDistBased,t1
129,186,456,divDistBased,t1
130,186,384,divDistBased,t1
131,186,129,divDistBased,t1
132,186,381,divDistBased,t1
133,186,381,divDistBased,t1
134,186,120,divDistBased,t1
135,186,381,divDistBased,t1
136,186,752,divDistBased,t1
137,186,120,divDistBased,t1
138,186,381,divDistBased,t1
139,186,381,divDistBased,t1
140,186,123,divDistBased,t1
141,186,120,divDistBased,t1
142,186,384,divDistBased,t1
143,186,456,divDistBased,t1
144,186,381,divDistBased,t1
145,186,150,divDistBased,t1
146,186,384,divDistBased,t1
147,186,712,divDistBased,t1
148,186,216,divDistBased,t1
149,186,381,divDistBased,t1
150,186,246,divDistBased,t1
151,186,129,divDistBased,t1
152,186,381,divDistBased,t1
153,186,381,divDistBased,t1
154,186,150,divDistBased,t1
155,186,387,divDistBased,t1
156,186,129,divDistBased,t1
157,186,381,divDistBased,t1
158,186,381,divDistBased,t1
159,186,456,divDistBased,t1
160,186,381,divDistBased,t1
161,186,381,divDistBased,t1
162,186,381,divDistBased,t1
163,186,381,divDistBased,t1
164,186,120,divDistBased,t1
165,186,240,divDistBased,t1
166,186,150,divDistBased,t1
167,186,642,divDistBased,t1
168,186,381,divDistBased,t1
169,186,381,divDistBased,t1
170,186,465,divDistBased,t1
171,186,384,divDistBased,t1
172,186,381,divDistBased,t1
173,186,384,divDistBased,t1
174,186,240,divDistBased,t1
175,186,381,divDistBased,t1
176,186,752,divDistBased,t1
177,186,150,divDistBased,t1
178,186,150,divDistBased,t1
179,186,384,divDistBased,t1
180,186,381,divDistBased,t1
181,186,381,divDistBased,t1
182,186,381,divDistBased,t1
183,186,381,divDistBased,t1
184,186,381,divDistBased,t1
185,186,456,divDistBased,t1
186,186,381,divDistBased,t1
187,186,381,divDistBased,t1
188,186,381,divDistBased,t1
189,186,384,divDistBased,t1
190,186,120,divDistBased,t1
191,186,381,divDistBased,t1
192,186,381,divDistBased,t1
193,186,718,divDistBased,t1
194,186,381,divDistBased,t1
195,186,381,divDistBased,t1
196,186,120,divDistBased,t1
197,186,150,divDistBased,t1
198,186,120,divDistBased,t1
199,186,381,divDistBased,t1
200,279,381,divDistBased,t1
201,279,384,divDistBased,t1
202,279,387,divDistBased,t1
203,279,456,divDistBased,t1
204,279,384,divDistBased,t1
205,279,718,divDistBased,t1
206,279,381,divDistBased,t1
207,279,381,divDistBased,t1
208,279,381,divDistBased,t1
209,279,456,divDistBased,t1
210,279,384,divDistBased,t1
211,279,718,divDistBased,t1
212,279,712,divDistBased,t1
213,279,1280,divDistBased,t1
214,279,384,divDistBased,t1
215,279,240,divDistBased,t1
216,279,752,divDistBased,t1
217,279,129,divDistBased,t1
218,279,129,divDistBased,t1
219,279,387,divDistBased,t1
220,279,456,divDistBased,t1
221,279,384,divDistBased,t1
222,279,384,divDistBased,t1
223,279,387,divDistBased,t1
