591 - SeqGS, LoopSolver, pre_0, post_0, cells_53
2061 - SeqSOR, GradientSolver, pre_0, post_0, cells_53
593 - SeqGS, LoopSolver, pre_0, post_0, cells_55
886 - SeqGS, GradientSolver, pre_0, post_0, cells_54
886 - SeqGS, GradientSolver, pre_0, post_0, cells_54
295 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_51
882 - SeqGS, GradientSolver, pre_0, post_0, cells_50
2058 - SeqSOR, GradientSolver, pre_0, post_0, cells_50
1765 - SeqSOR, LoopSolver, pre_0, post_0, cells_51
2058 - SeqSOR, GradientSolver, pre_0, post_0, cells_50
590 - SeqGS, LoopSolver, pre_0, post_0, cells_52
2062 - SeqSOR, GradientSolver, pre_0, post_0, cells_54
1765 - SeqSOR, LoopSolver, pre_0, post_0, cells_51
1177 - SeqSOR, CGSolver, pre_0, post_0, cells_51
591 - SeqGS, LoopSolver, pre_0, post_0, cells_53
1765 - SeqSOR, LoopSolver, pre_0, post_0, cells_51
1764 - SeqSOR, LoopSolver, pre_0, post_0, cells_50
883 - SeqGS, GradientSolver, pre_0, post_0, cells_51
2061 - SeqSOR, GradientSolver, pre_0, post_0, cells_53
592 - SeqGS, LoopSolver, pre_0, post_0, cells_54
1765 - SeqSOR, LoopSolver, pre_0, post_0, cells_51
591 - SeqGS, LoopSolver, pre_0, post_0, cells_53
883 - SeqGS, GradientSolver, pre_0, post_0, cells_51
1765 - SeqSOR, LoopSolver, pre_0, post_0, cells_51
4 - SeqGS, CGSolver, pre_0, post_0, cells_54
1473 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_53
