298 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_54
1471 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_51
2062 - SeqSOR, GradientSolver, pre_0, post_0, cells_54
1769 - SeqSOR, LoopSolver, pre_0, post_0, cells_55
887 - SeqGS, GradientSolver, pre_0, post_0, cells_55
1176 - SeqSOR, CGSolver, pre_0, post_0, cells_50
1766 - SeqSOR, LoopSolver, pre_0, post_0, cells_52
1179 - SeqSOR, CGSolver, pre_0, post_0, cells_53
882 - SeqGS, GradientSolver, pre_0, post_0, cells_50
885 - SeqGS, GradientSolver, pre_0, post_0, cells_53
4 - SeqGS, CGSolver, pre_0, post_0, cells_54
1474 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_54
588 - SeqGS, LoopSolver, pre_0, post_0, cells_50
1176 - SeqSOR, CGSolver, pre_0, post_0, cells_50
1178 - SeqSOR, CGSolver, pre_0, post_0, cells_52
298 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_54
2058 - SeqSOR, GradientSolver, pre_0, post_0, cells_50
297 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_53
294 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_50
1471 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_51
0 - SeqGS, CGSolver, pre_0, post_0, cells_50
1470 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_50
294 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_50
299 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_55
2060 - SeqSOR, GradientSolver, pre_0, post_0, cells_52
1767 - SeqSOR, LoopSolver, pre_0, post_0, cells_53
2063 - SeqSOR, GradientSolver, pre_0, post_0, cells_55
2 - SeqGS, CGSolver, pre_0, post_0, cells_52
294 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_50
2059 - SeqSOR, GradientSolver, pre_0, post_0, cells_51
