5 - SeqGS, CGSolver, pre_0, post_0, cells_55
887 - SeqGS, GradientSolver, pre_0, post_0, cells_55
2063 - SeqSOR, GradientSolver, pre_0, post_0, cells_55
1767 - SeqSOR, LoopSolver, pre_0, post_0, cells_53
1180 - SeqSOR, CGSolver, pre_0, post_0, cells_54
590 - SeqGS, LoopSolver, pre_0, post_0, cells_52
5 - SeqGS, CGSolver, pre_0, post_0, cells_55
294 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_50
2059 - SeqSOR, GradientSolver, pre_0, post_0, cells_51
1768 - SeqSOR, LoopSolver, pre_0, post_0, cells_54
1765 - SeqSOR, LoopSolver, pre_0, post_0, cells_51
2 - SeqGS, CGSolver, pre_0, post_0, cells_52
298 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_54
294 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_50
2060 - SeqSOR, GradientSolver, pre_0, post_0, cells_52
591 - SeqGS, LoopSolver, pre_0, post_0, cells_53
1178 - SeqSOR, CGSolver, pre_0, post_0, cells_52
299 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_55
0 - SeqGS, CGSolver, pre_0, post_0, cells_50
299 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_55
1766 - SeqSOR, LoopSolver, pre_0, post_0, cells_52
593 - SeqGS, LoopSolver, pre_0, post_0, cells_55
887 - SeqGS, GradientSolver, pre_0, post_0, cells_55
593 - SeqGS, LoopSolver, pre_0, post_0, cells_55
1472 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_52
887 - SeqGS, GradientSolver, pre_0, post_0, cells_55
2059 - SeqSOR, GradientSolver, pre_0, post_0, cells_51
2 - SeqGS, CGSolver, pre_0, post_0, cells_52
886 - SeqGS, GradientSolver, pre_0, post_0, cells_54
884 - SeqGS, GradientSolver, pre_0, post_0, cells_52
590 - SeqGS, LoopSolver, pre_0, post_0, cells_52
1181 - SeqSOR, CGSolver, pre_0, post_0, cells_55
882 - SeqGS, GradientSolver, pre_0, post_0, cells_50
2059 - SeqSOR, GradientSolver, pre_0, post_0, cells_51
1181 - SeqSOR, CGSolver, pre_0, post_0, cells_55
590 - SeqGS, LoopSolver, pre_0, post_0, cells_52
