1179 - SeqSOR, CGSolver, pre_0, post_0, cells_53
1765 - SeqSOR, LoopSolver, pre_0, post_0, cells_51
5 - SeqGS, CGSolver, pre_0, post_0, cells_55
3 - SeqGS, CGSolver, pre_0, post_0, cells_53
1473 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_53
1765 - SeqSOR, LoopSolver, pre_0, post_0, cells_51
3 - SeqGS, CGSolver, pre_0, post_0, cells_53
884 - SeqGS, GradientSolver, pre_0, post_0, cells_52
299 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_55
588 - SeqGS, LoopSolver, pre_0, post_0, cells_50
885 - SeqGS, GradientSolver, pre_0, post_0, cells_53
593 - SeqGS, LoopSolver, pre_0, post_0, cells_55
1475 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_55
887 - SeqGS, GradientSolver, pre_0, post_0, cells_55
883 - SeqGS, GradientSolver, pre_0, post_0, cells_51
1765 - SeqSOR, LoopSolver, pre_0, post_0, cells_51
885 - SeqGS, GradientSolver, pre_0, post_0, cells_53
1765 - SeqSOR, LoopSolver, pre_0, post_0, cells_51
2063 - SeqSOR, GradientSolver, pre_0, post_0, cells_55
588 - SeqGS, LoopSolver, pre_0, post_0, cells_50
1180 - SeqSOR, CGSolver, pre_0, post_0, cells_54
