882 - SeqGS, GradientSolver, pre_0, post_0, cells_50
1765 - SeqSOR, LoopSolver, pre_0, post_0, cells_51
299 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_55
2062 - SeqSOR, GradientSolver, pre_0, post_0, cells_54
1768 - SeqSOR, LoopSolver, pre_0, post_0, cells_54
1177 - SeqSOR, CGSolver, pre_0, post_0, cells_51
1767 - SeqSOR, LoopSolver, pre_0, post_0, cells_53
884 - SeqGS, GradientSolver, pre_0, post_0, cells_52
296 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_52
1470 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_50
296 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_52
589 - SeqGS, LoopSolver, pre_0, post_0, cells_51
5 - SeqGS, CGSolver, pre_0, post_0, cells_55
2063 - SeqSOR, GradientSolver, pre_0, post_0, cells_55
2 - SeqGS, CGSolver, pre_0, post_0, cells_52
0 - SeqGS, CGSolver, pre_0, post_0, cells_50
1177 - SeqSOR, CGSolver, pre_0, post_0, cells_51
297 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_53
885 - SeqGS, GradientSolver, pre_0, post_0, cells_53
295 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_51
1181 - SeqSOR, CGSolver, pre_0, post_0, cells_55
1474 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_54
1475 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_55
2062 - SeqSOR, GradientSolver, pre_0, post_0, cells_54
1768 - SeqSOR, LoopSolver, pre_0, post_0, cells_54
